,"ADANIPORTS.NS
",ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,INFRATEL.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,BRITANNIA.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
"ADANIPORTS.NS
",1.0,0.919443709678935,0.938102916314933,0.609046550217592,0.817621777928983,0.8621433871778703,0.5003770556366985,0.6712348583853579,0.9120847570063627,0.8490784795254541,0.5218369955427756,0.7193214838281832,0.9236462923871653,0.8951226904586551,0.9155336921570897,0.9371987755781611,0.9436883088313983,0.9217057563155863,0.8852245445299497,0.6833385092182204,0.8939701510378051,0.9103732507468989,0.9318424444118056,0.9352873314230506,0.8961643209488163,0.9020304021078149,0.8689944259030546,0.875211513749378,0.924777308715284,0.9584320884813137,0.8786591020156796,0.9340127824878462,0.8487381323287271,0.390194116299426,0.5973321235141364,0.9325577864378709,0.7756271025549788,0.9372131119655558,0.6231149167523921,0.8963996080041589,0.5130856536431689,0.4488881677698314,0.8928076229597717,0.867807516429925,0.9364239955130611,0.9299590740794313,0.34993599187186797,0.8934908094470403,0.8087566790914509,0.8736083015894731
ASIANPAINT.NS,0.919443709678935,1.0,0.9692569181301659,0.7776063861048512,0.8988794874041233,0.9290397943487267,0.5251898660314521,0.5027158529495961,0.9593772144624586,0.8543438874589908,0.3435829488590727,0.8335455916656822,0.9311241883195437,0.9148197482214719,0.9224632666792729,0.9764717925966163,0.9813896091915877,0.9841974127763237,0.9127682322172255,0.6430070059141154,0.9750265677412566,0.9627997165133125,0.9614945324738459,0.9674808767832136,0.9795777477999221,0.9302918911946151,0.9306403602622865,0.9232381506702813,0.9838346819193924,0.9076384784677789,0.916545581054147,0.9423221510807479,0.947781941547769,0.4925689613378772,0.6926140359140063,0.9362972061802469,0.8673027821620681,0.9291100130111448,0.7587694651353052,0.9735106467593151,0.6531708935159957,0.49864334067240745,0.8985985770522745,0.9477586561728211,0.972008764705458,0.9571718549928223,0.5511717678106612,0.9225993265071903,0.7974139128118954,0.908249339869423
AXISBANK.NS,0.938102916314933,0.9692569181301659,1.0,0.4985057196255905,0.8321484069322475,0.8674607170390665,0.6091505970398039,0.6385428785380151,0.9241697781794567,0.9202703980935665,0.5216952799110511,0.9036145941639784,0.9066426592257675,0.9289338567518667,0.9075980833055588,0.9734221278725811,0.9760549651605678,0.9573767458120066,0.9218695551751386,0.7201019752109135,0.9368731309791366,0.9185773191027506,0.9775194101351096,0.935256187493915,0.9779482552037035,0.9069408175883518,0.9459231640142536,0.8818270881675165,0.9612562043272074,0.9530109157661744,0.9434153829022588,0.9041465046831441,0.9200217016761323,0.5473554591347252,0.8088506984340424,0.9056877374322689,0.8801606229152695,0.9734034348010389,0.8399893278247458,0.9597690018659926,0.7545246122311613,0.6293876626549653,0.9152472423015339,0.9216492199437765,0.9611538749843781,0.9416932244786014,0.6772946906224494,0.9609174654739709,0.7729119234636432,0.9048127047564316
BAJAJ-AUTO.NS,0.609046550217592,0.7776063861048512,0.4985057196255905,1.0,0.7389039857938018,0.801767498712411,0.4793808280861977,-0.3201636285220895,0.900089285933636,-0.4470386064308573,-0.4511322040233202,-0.6134764949135052,0.6433021242298221,0.7250665888649216,0.7602413833297402,0.5783904382154184,0.7618726167743124,0.7900898764876019,0.6296158890400925,0.7736706918861905,0.6717168888662708,0.7264406808092979,0.5880741671512403,0.775234691693875,0.4771819338496805,0.8262440403686196,0.681040848847629,0.7486479143483324,0.732075759864898,0.6426164435925081,0.34827641221231936,0.8088069056196641,0.5855445369228358,0.7606685631426569,0.077784555209178,0.8238042121114812,0.7340295904944454,0.5397628621580384,-0.815105641253276,0.5447299079677658,-0.4091052411111954,0.7381507870789698,0.2743530352770491,0.6969445532334141,0.8654683004704693,0.8075981361589885,0.6118204735805428,0.4114527746409176,0.3701550352798812,0.40242625185557174
BAJFINANCE.NS,0.817621777928983,0.8988794874041233,0.8321484069322475,0.7389039857938018,1.0,0.9888572279180555,0.39020221402121946,0.2729338924264376,0.86526992768779,0.5965937867425221,0.11974322160894828,0.5474209552503385,0.7872126425705636,0.8079471806465991,0.7975232540336488,0.8313742113496374,0.8841160749428315,0.9378083371054065,0.6969039984146063,0.6208402048888982,0.9495116806390764,0.9454540961273101,0.861653069524604,0.8634257462185821,0.8762989962008774,0.8546441972456585,0.7241482071146902,0.9047077281625784,0.9361382165339901,0.779872192348946,0.6953172607393129,0.8730163838302413,0.8980505118936238,0.45054211876682243,0.4266067032351738,0.8732801831935931,0.9017435769142598,0.741482371406968,0.4213241143159172,0.8913770347810281,0.2845476658397291,0.4671767772616197,0.8049795972260073,0.9511565225986172,0.8228445325583303,0.8993580702794791,0.410835890458823,0.7536405568804907,0.6218276761332251,0.6900293872367418
BAJAJFINSV.NS,0.8621433871778703,0.9290397943487267,0.8674607170390665,0.801767498712411,0.9888572279180555,1.0,0.47832052604774405,0.33909785270014303,0.8955014322054137,0.5991447556394914,0.17930735484919194,0.46056264692667287,0.8118900818556518,0.8920530441571379,0.8585946965732139,0.8502163797215008,0.9516439330635897,0.9763866676414529,0.7492487145847105,0.6805749440556065,0.9642352385837865,0.9618539442622669,0.892429711574909,0.9044693151586177,0.8998210855710703,0.9030558572158728,0.778733579978341,0.9357086904685862,0.9692253311852694,0.8887315922686879,0.727499253007523,0.9115408182592036,0.9109044538655671,0.5364718226484523,0.2945070923008705,0.9192104449477037,0.9599998212250713,0.7952949992532721,0.2859721843033843,0.9059971046905264,0.1298864248859,0.515959810638163,0.8097347389907298,0.9633551151784717,0.8644598250220628,0.9267177896020227,0.2535052173899032,0.8002048914410935,0.6714056435295532,0.7120851728841515
BHARTIARTL.NS,0.5003770556366985,0.5251898660314521,0.6091505970398039,0.4793808280861977,0.39020221402121946,0.47832052604774405,1.0,0.49504769705750473,0.5139161115821009,0.6798907663600918,0.3161934790364649,0.5586830744253779,0.4819124586649611,0.6461436664397328,0.6457533155368748,0.537326603576168,0.6301278900840829,0.5459897565096798,0.6326823060208425,0.6834674565106504,0.5026925398169582,0.46014670974633015,0.6322773940841954,0.5104931041434322,0.560213160555839,0.5416440701201145,0.6286972933035418,0.48362178076156115,0.5697561050279679,0.7530553934628477,0.6295532105400449,0.4980719917610682,0.5609655197925653,0.7599141580563359,0.7418844383063244,0.40606481709037395,0.6905394091334272,0.6510111738606758,0.53591860057697,0.4383962865623091,0.5372992489685166,0.7624778260387365,0.30476825747943503,0.5075320372177735,0.49364137613418707,0.537040817441289,0.6724146864656764,0.6693328130499766,0.3686091058527025,0.5842481248008959
INFRATEL.NS,0.6712348583853579,0.5027158529495961,0.6385428785380151,-0.3201636285220895,0.2729338924264376,0.33909785270014303,0.49504769705750473,1.0,0.6398038810161868,0.7990760657914638,0.6644885230768648,0.5355777304311421,0.7923870869845197,0.38701712401839,0.5697068187424721,0.6164616718969922,0.4711258311684355,0.4068236982960923,0.7101209658086372,0.3013833645528793,0.3291338890220861,0.49171376723441146,0.4125394875952701,0.5935284282334798,0.4722711296092952,0.5520461737080286,0.4113686428509025,0.3617991306536469,0.43856875893938435,0.5315187636886158,0.608589512919852,0.5871428546825648,0.2161441816448108,0.41474879622571703,-0.07441693822192459,0.5863738699603758,0.20683697310775573,0.6189363373767445,0.4098004912627691,0.2997481996347419,0.28048843458353107,0.2671583876609765,0.37849126244060816,0.2509452019903397,0.6537321290323655,0.635260945858181,0.19594601108334722,0.5151237311959479,0.6186900480218079,0.7029150566816404
BPCL.NS,0.9120847570063627,0.9593772144624586,0.9241697781794567,0.900089285933636,0.86526992768779,0.8955014322054137,0.5139161115821009,0.6398038810161868,1.0,0.8208067284733218,0.3910658064930588,0.7830977402039324,0.9675342034627936,0.8890524775719925,0.9402387418202196,0.9298679108347552,0.9384998350004718,0.952054554095641,0.9065696397884397,0.6906183051096741,0.9213801353306647,0.9399834171392245,0.9027845114007341,0.9648262192510548,0.9193191686030897,0.9739690817586756,0.883226132894704,0.9106017636885829,0.9451303834378748,0.863295192681286,0.8785681228048556,0.9628758936996691,0.8365543097113385,0.5142122528796161,0.6704220226027496,0.9605579855294134,0.8301714568921212,0.8939891769886209,0.7232880798909068,0.8845236659371651,0.6799833529687531,0.5752596242393971,0.8030923726052067,0.8971625391433812,0.9555251827529311,0.9699717048103711,0.6036859613965276,0.8612618617529502,0.865444755722181,0.9169763161392429
CIPLA.NS,0.8490784795254541,0.8543438874589908,0.9202703980935665,-0.4470386064308573,0.5965937867425221,0.5991447556394914,0.6798907663600918,0.7990760657914638,0.8208067284733218,1.0,0.7087961382194934,0.9458196700328618,0.8435580335153995,0.8817070463318709,0.8692797036158341,0.9031602684546052,0.8811972791496439,0.8323796116083434,0.9350420441501373,0.7307989590392048,0.7937284473229905,0.7714314003474035,0.876557341712442,0.8491925703831588,0.8875936382119287,0.8205425801033787,0.9458852570812729,0.7499770054470799,0.8294120338376343,0.8965172109667587,0.9601929677730496,0.8140096824255543,0.7419289047130694,0.5062431824617275,0.9075114984853889,0.7535670459269568,0.7620753110423671,0.9502350559501729,0.9278542560349646,0.8447170708591768,0.8859496929692909,0.6678587877912673,0.8177922795731779,0.7651781006140672,0.8990322262094336,0.8037524847008936,0.739431581816284,0.9443770913824827,0.8026865496995775,0.9144933708745111
